사업장명,업종분류,서비스명,서비스아이디(ID),인허가일자,영업상태,소재지전화,구우편번호,주소,도로명우편번호,도로명주소,경도,위도,대표메뉴,영업시간
쿠킹놀이터,카페,휴게음식점,07_24_05_P,2019-05-28,Y,0507-1378-0074,702-882,대구광역시 북구 동변동 674-7번지 ,41413,"대구광역시 북구 동변로13길 2-6, 1층 (동변동)",128.6032364,35.91987882,아메리카노,
들고커피(들GO COFFEE),카페,휴게음식점,07_24_05_P,2019-05-28,Y,053-323-9785,702-886,대구광역시 북구 동천동 941-1 ,41430,"대구광역시 북구 동천로 49, 1층 (동천동)",128.5592756,35.93601141,"커피, 음료",
할리스커피침산네거리점,카페,휴게음식점,07_24_05_P,2019-05-27,Y,053-353-5544,702-856,대구광역시 북구 침산동 222-7 ,41561,"대구광역시 북구 침산남로 157, 1(일부),2층 (침산동)",128.5930139,35.88816994,"커피, 음료",09:00-23:00
올리졸리꽉꽉이네,카페,휴게음식점,07_24_05_P,2019-05-17,Y,0507-1378-4080,702-310,대구광역시 북구 사수동 787번지 대구금호엘에이치천년나무5단지 ,41493,"대구광역시 북구 내곡로 69, 상가동 1층 104호 (사수동, 대구금호엘에이치천년나무5단지)",128.5117292,35.90280886,아이스크림와플,
더드림커피,카페,휴게음식점,07_24_05_P,2019-04-25,Y,053-721-7764,702-865,대구광역시 북구 태전동 620-7번지 ,41467,"대구광역시 북구 칠곡중앙대로52길 3, 1(일부)층 (태전동)",128.5477675,35.91880628,아메리카노,매일 09:00 - 22:00
커피스타,카페,휴게음식점,07_24_05_P,2019-04-25,Y,053-941-6303,702-831,대구광역시 북구 복현동 407-8번지 ,41563,"대구광역시 북구 경진로 22-12, 1층 (복현동)",128.6144289,35.89444268,베이커리,평일 12:00 - 21:00/토요일 12:00 - 21:00/일요일 휴무
팔공티경북대학교북문점,카페,휴게음식점,07_24_05_P,2019-05-08,Y,070-4799-8080,702-842,대구광역시 북구 산격동 1393-23번지 ,41544,"대구광역시 북구 산격로6길 29-2, 일부 1층 (산격동)",128.6086193,35.89267702,버블티,10:00-24:00
다락마카롱,카페,휴게음식점,07_24_05_P,2019-04-19,Y,,702-886,대구광역시 북구 동천동 926-3번지 ,41427,"대구광역시 북구 대천로17길 9-8, 일부 1층 (동천동)",128.558094,35.93790049,마카롱,수요일 12:00 - 18:00/목요일 12:00 - 18:00/금요일 12:00 - 18:00/토요일 12:00 - 18:00 
혜민커피,카페,휴게음식점,07_24_05_P,2019-05-13,Y,053-326-7549,702-863,대구광역시 북구 태전동 206-25번지 ,41458,"대구광역시 북구 태전로1길 13, A동 1(일부)층 (태전동)",128.5447261,35.92018726,블루베리라떼,
카페바인,카페,휴게음식점,07_24_05_P,2019-04-02,Y,0507-1360-9880,702-061,대구광역시 북구 칠성동1가 200-6번지 ,41582,"대구광역시 북구 공평로 132, 1층 (칠성동1가)",128.6014799,35.87577938,아메리카노,매일 09:00 - 18:30 2째 4째 월요일 휴무
파리엔테스,카페,휴게음식점,07_24_05_P,2019-06-19,Y,053-311-1666,702-886,대구광역시 북구 동천동 971-2번지 ,41422,"대구광역시 북구 동암로12길 22, 1층 104(전부)호 (동천동)",128.5561702,35.94338401,아메리카노,평일 08:30 - 21:00/토요일 08:30 - 21:00/일요일 12:00 - 19:00
카페고성,카페,휴게음식점,07_24_05_P,2019-04-05,Y,0507-1331-7387,702-072,대구광역시 북구 고성동2가 126-2번지 ,41597,"대구광역시 북구 칠성남로2길 13, 1층 (고성동2가)",128.5806213,35.87953098,아메리카노,평일 11:30 - 18:00 주말 13:00 - 18:00
카페낭월,카페,휴게음식점,07_24_05_P,2019-06-14,Y,,702-835,대구광역시 북구 산격동 485-14번지 ,41520,"대구광역시 북구 대불서길 18-1, 1층 (산격동)",128.6140679,35.90133636,,
다방,카페,휴게음식점,07_24_05_P,2019-06-05,Y,0507-1323-3960,702-832,대구광역시 북구 복현동 619번지 ,41565,"대구광역시 북구 경대로17길 12, 2층 (복현동)",128.6163178,35.88973289,베이커리,매일 12:00 - 21:00
두낫헤지테이트,카페,휴게음식점,07_24_05_P,2006-11-02,Y,,702-886,대구광역시 북구 동천동 902-2 호수빌딩2층 ,41423,"대구광역시 북구 동천로 127 (동천동,호수빌딩2층)",128.5605536,35.94309865,"커피, 케이크",11:00-22:00
이디야커피,카페,휴게음식점,07_24_05_P,2016-11-07,Y,053-326-6224,702-864,대구광역시 북구 태전동 253-5번지 ,41457,"대구광역시 북구 영송로 4, 1층 109,110호 (태전동)",128.5439685,35.92557259,아메리카노,평일 10:00 - 23:30/주말 10:00 - 24:00
핸즈커피운암역점,카페,휴게음식점,07_24_05_P,2016-11-15,Y,053-322-8300,702-866,대구광역시 북구 태전동 999번지 ,41460,대구광역시 북구 구암로 110 (태전동),128.553335,35.93182452,핸드드립커피,매일 10:00 - 24:00 연중 무휴
블럭커피(BLOCKCOFFEE),카페,휴게음식점,07_24_05_P,2018-11-02,Y,070-8864-8858,702-831,대구광역시 북구 복현동 424-5번지 ,41562,대구광역시 북구 동북로50길 8 (복현동),128.6170721,35.89485146,커피,매일 11:00 - 23:00
플러스공방앤카페,카페,휴게음식점,07_24_05_P,2019-01-23,Y,053-939-7288,702-040,대구광역시 북구 대현동 153-18번지 ,41569,"대구광역시 북구 대현로 109, 일부 2층 (대현동)",128.6111606,35.88224426,,매일 09:00 - 18:00/월요일 휴무/화요일 휴무 
얼터커피,카페,휴게음식점,07_24_05_P,2019-01-21,Y,,702-865,대구광역시 북구 태전동 687-24번지 ,41468,"대구광역시 북구 학정로 11-11, 1층 (태전동)",128.5439098,35.91421047,핸드드립커피,평일 10:00 - 19:00 매주 일요일 정기 휴무/토요일 12:00 - 20:00
커피버베나,카페,휴게음식점,07_24_05_P,2019-01-21,Y,053-321-1096,702-877,대구광역시 북구 국우동 1096-9번지 ,41419,"대구광역시 북구 학남로17길 8-19, 1층 102호 (국우동)",128.5704533,35.94380693,"커피, 디저트",10:00-19:00
리틀냅침산점,카페,휴게음식점,07_24_05_P,2019-01-31,Y,0507-1393-4777,702-851,대구광역시 북구 칠성동2가 2-2번지 침산1차푸르지오 ,41593,"대구광역시 북구 침산로21길 23, 오피스텔동 1,2층 101,201호 (칠성동2가, 침산1차푸르지오)",128.5875939,35.88546197,아메리카노,
널그린다,카페,휴게음식점,07_24_05_P,2019-01-31,Y,053-325-0555,702-807,대구광역시 북구 구암동 519번지 ,41473,"대구광역시 북구 학정로48길 40-8, 1층,2층 (구암동)",128.5606911,35.92678202,"커피, 라떼, 티",10:30-22:00
대우받는카페,카페,휴게음식점,07_24_05_P,2019-01-24,Y,,702-808,대구광역시 북구 구암동 690-5번지 ,41465,"대구광역시 북구 팔거천동로4길 41-7, 1층 (구암동)",128.5552255,35.92746267,아메리카노,
블루포트경북대학교점,카페,휴게음식점,07_24_05_P,2019-01-24,Y,02-465-1121,702-701,대구광역시 북구 산격동 1370-1번지 경북대학교 ,41566,"대구광역시 북구 대학로 80, 경북대학교중앙도서관 1층 (산격동)",128.6104653,35.89158379,"커피, 음료",
카페53,카페,휴게음식점,07_24_05_P,2019-01-25,Y,,702-911,대구광역시 북구 학정동 368-3번지 ,41405,"대구광역시 북구 학정로109길 42, 1층 (학정동)",128.5644356,35.95417398,아메리카노,
헤븐,카페,휴게음식점,07_24_05_P,2019-02-27,Y,,702-886,대구광역시 북구 동천동 942-17번지 ,41430,"대구광역시 북구 대천로18길 21, 일부 1층 (동천동)",128.5575915,35.93528876,"마카롱, 김밥, 샌드위치",10:00-19:00
로비아네(LOBIANE),카페,휴게음식점,07_24_05_P,2019-02-27,Y,053-255-1805,702-851,대구광역시 북구 칠성동2가 2-4번지 대구은행 제2본점 ,41593,"대구광역시 북구 옥산로 111, 대구은행 제2본점 1층 (칠성동2가)",128.5882749,35.88436268,상하목장아이스크림,평일 08:00 - 20:00/주말 11:00 - 20:00 
가보커피바(GABOCOFFEEBAR),카페,휴게음식점,07_24_05_P,2019-01-16,Y,0507-1324-1398,702-840,대구광역시 북구 산격동 1278-4번지 ,41536,"대구광역시 북구 대학로 125-1, 1층 (산격동)",128.6123963,35.89559425,커피,매일 12:00 - 21:00/일요일 휴무
헤이트먼데이(산격점),카페,휴게음식점,07_24_05_P,2019-03-18,Y,,702-839,대구광역시 북구 산격동 1422-1 ,41537,"대구광역시 북구 산격로 57-2, 1층 (산격동)",128.6050408,35.89571885,크로플,
줌줌,카페,휴게음식점,07_24_05_P,2019-03-14,Y,053-939-9222,702-832,대구광역시 북구 복현동 618-14번지 ,41565,"대구광역시 북구 경대로19길 11, 1층 (복현동)",128.6171191,35.88948799,커피,영업시간/매일 09:00 - 24:00
다원카페,카페,휴게음식점,07_24_05_P,2019-03-15,Y,0507-1336-7759,702-832,대구광역시 북구 복현동 461-12번지 ,41564,"대구광역시 북구 경진로1길 79, 1층 (복현동)",128.6202464,35.89273975,커피,평일 10:30 - 19:00/주말 휴무 
시간을걷다,카페,휴게음식점,07_24_05_P,2019-01-30,Y,,702-100,대구광역시 북구 조야동 253-4번지 ,41478,"대구광역시 북구 조야로 43, 1층 (조야동)",128.5766105,35.91117432,아메리카노,
위트커피,카페,휴게음식점,07_24_05_P,2019-03-20,Y,053-322-0919,702-807,대구광역시 북구 구암동 784-1번지 ,41424,"대구광역시 북구 구암로65길 10, 1층 (구암동)",128.568818,35.94097866,"커피, 스무디, 아이스크림",
디저트스윗베리,카페,휴게음식점,07_24_05_P,2019-02-25,Y,,702-912,대구광역시 북구 학정동 964-6번지 ,41416,"대구광역시 북구 학정동로 64, 1층 102호 (학정동)",128.5678859,35.94948531,"음료, 디저트",
마카로네상점,카페,휴게음식점,07_24_05_P,2019-02-25,Y,,702-912,대구광역시 북구 학정동 944-4번지 ,41416,"대구광역시 북구 학남로1길 13, 1층 (학정동)",128.565887,35.94989872,"커피, 마카롱",11:00-24:00
마시그래이연경점,카페,휴게음식점,07_24_05_P,2019-02-25,Y,0507-1487-4556,702-130,대구광역시 북구 연경동 0번지 ,41409,"대구광역시 북구 연경중앙로2길 15, 1층 (연경동)",128.6191958,35.94335157,아메리카노,
엠트리(M-tree),카페,휴게음식점,07_24_05_P,2019-02-25,Y,070-8862-0614,702-852,대구광역시 북구 칠성동2가 302-380번지 ,41581,"대구광역시 북구 칠성남로38길 56, 지하1,지상1층 (칠성동2가)",128.5966075,35.8762513,아메리카노,평일 10:00 - 19:00/토요일 10:00 - 19:00
더리터(THE LITER),카페,휴게음식점,07_24_05_P,2019-01-14,Y,053-327-1006,702-885,대구광역시 북구 동천동 895-2번지 씨네피아 ,41423,"대구광역시 북구 동암로 100, 씨네피아 1층 104호 (동천동)",128.5617179,35.94405961,"커피, 음료",09:00-22:00
라임커피(Laim),카페,휴게음식점,07_24_05_P,2019-03-26,Y,053-951-5657,702-832,대구광역시 북구 복현동 595-135번지 ,41563,"대구광역시 북구 경진로 38, 1층 (복현동)",128.616191,35.89374015,커피,평일 12:00 - 19:00/주말 11:00 - 21:00
빈포유,카페,휴게음식점,07_24_05_P,2019-03-26,Y,0507-1323-2605,702-852,대구광역시 북구 칠성동2가 302-195번지 삼성아파트 ,41581,"대구광역시 북구 칠성남로30길 48, A동 1층 104호 (칠성동2가, 삼성아파트)",128.5999749,35.87578548,,매일 09:00 - 18:00 일요일휴무
한스만화방까페,카페,휴게음식점,07_24_05_P,2019-03-27,Y,053-941-0315,702-843,대구광역시 북구 산격동 1382-8번지 ,41567,"대구광역시 북구 대현로9길 60, 2층 (산격동)",128.6026903,35.88817852,커피,
카페몽블랑,카페,휴게음식점,07_24_05_P,2016-10-31,Y,053-326-2242,702-911,대구광역시 북구 학정동 369번지 ,41405,"대구광역시 북구 학정로 551-23, 1층 (학정동)",128.5645831,35.95432615,에스프레소,
커피베리,카페,휴게음식점,07_24_05_P,2019-02-22,Y,,702-911,대구광역시 북구 학정동 825번지 ,41406,"대구광역시 북구 구리로 29, 1층 (학정동)",128.5581078,35.94683816,,
팔공티이마트칠성점,카페,휴게음식점,07_24_05_P,2019-07-24,Y,053-341-9031,702-851,대구광역시 북구 칠성동2가 20-1번지 스펙트럼시티 ,41593,"대구광역시 북구 침산로 93, 스펙트럼시티 이마트칠성점 1(일부)층 (칠성동2가)",128.5897547,35.88507266,블랙밀크티,매일 10:00 - 22:30
블록체인스튜디오(BLOCKCHAINSTUDIO),카페,휴게음식점,07_24_05_P,2019-07-24,Y,,702-837,대구광역시 북구 산격동 505-7번지 ,41519,"대구광역시 북구 동북로 117, 1층 104(일부)호 (산격동)",128.6067572,35.90214795,,
플라워카페 향기,카페,휴게음식점,07_24_05_P,2019-09-19,Y,0507-1485-0231,702-812,대구광역시 북구 노원동2가 289-4 ,41558,"대구광역시 북구 팔달로41길 16, 1층 (노원동2가)",128.5732682,35.88880001,아이스아메리카노,매일 10:00 - 22:00
"카페,일상",카페,휴게음식점,07_24_05_P,2019-08-29,Y,053-313-2565,702-310,대구광역시 북구 사수동 794번지 ,41493,"대구광역시 북구 내곡로 73, 1층 104호 (사수동)",128.5115085,35.90161383,아메리카노,매일 09:00 - 21:00
커피당,카페,휴게음식점,07_24_05_P,2019-09-10,Y,,702-915,대구광역시 북구 산격동 1626 전자상가 ,41505,"대구광역시 북구 유통단지로 25, 전자상가 6동 1층 (산격동)",128.6056649,35.90638492,,
참새과자점,카페,휴게음식점,07_24_05_P,2019-09-24,Y,0507-1364-1601,702-868,대구광역시 북구 태전동 983-5 ,41452,"대구광역시 북구 칠곡중앙대로69길 3, 1층 (태전동)",128.5468652,35.92654079,르뱅쿠키,
라이프빈,카페,휴게음식점,07_24_05_P,2019-07-17,Y,0507-1322-7993,702-802,대구광역시 북구 관음동 1286-10번지 ,41441,"대구광역시 북구 관음동로 119-1, 1층 (관음동)",128.5473341,35.94361244,핸드드립커피,평일 10:00 - 16:00
핸썸커피,카페,휴게음식점,07_24_05_P,2019-07-16,Y,053-324-7779,702-886,대구광역시 북구 동천동 931-5번지 ,41427,"대구광역시 북구 대천로 93, 1층 (동천동)",128.5594665,35.93715842,"커피, 티, 음료",08:00-21:30
라온,카페,휴게음식점,07_24_05_P,2019-07-16,Y,,702-802,대구광역시 북구 관음동 1237-11번지 ,41440,"대구광역시 북구 관음중앙로 135, 1(일부)층 (관음동)",128.5471658,35.94517908,아메리카노,
호찐빵만두나라,카페,휴게음식점,07_24_05_P,2019-07-17,Y,,702-061,대구광역시 북구 칠성동1가 153-4 ,41583,"대구광역시 북구 칠성시장로 10, 1층 109호 (칠성동1가)",128.605085,35.87531898,,
타르트팜,카페,휴게음식점,07_24_05_P,2019-07-08,Y,0507-1379-1132,702-310,대구광역시 북구 사수동 794번지 ,41493,"대구광역시 북구 내곡로 73, 금강플라자 1층 106호 (사수동)",128.5115085,35.90161383,에그타르트,"매일 08:30 - 20:00/일요일 08:30 - 19:00 *매달 1,3째주 일요일 정기휴무"
시청(별관) 북카페,카페,휴게음식점,07_24_05_P,2019-07-22,Y,053-803-7788,702-843,대구광역시 북구 산격동 1445-3 대구광역시청별관 ,41542,"대구광역시 북구 연암로 40, 대구광역시청별관 주2 2동 1층 (산격동)",128.6003454,35.8931948,아메리카노,
케이케이투카페(KK2CAFE),카페,휴게음식점,07_24_05_P,2019-08-08,Y,053-323-9921,702-802,대구광역시 북구 관음동 1241-16번지 ,41440,"대구광역시 북구 관음중앙로 129-1, 1층 (관음동)",128.5464762,35.94503225,아메리카노,
카페연암,카페,휴게음식점,07_24_05_P,2019-08-08,Y,,702-838,대구광역시 북구 산격동 947 ,41540,"대구광역시 북구 연암로 88-13, 2층 (산격동)",128.595234,35.89278567,커피,
카페연,카페,휴게음식점,07_24_05_P,2019-08-06,Y,,702-803,대구광역시 북구 관음동 1383-14번지 ,41443,"대구광역시 북구 칠곡중앙대로 483, 1층 (관음동)",128.5492661,35.93884401,아메리카노,
달콤그리미,카페,휴게음식점,07_24_05_P,2019-09-09,Y,0507-1363-3323,702-911,대구광역시 북구 학정동 343번지 ,41405,"대구광역시 북구 학정로109길 10, 1층 (학정동)",128.5647841,35.95309132,마카롱,
감성커피,카페,휴게음식점,07_24_05_P,2019-07-19,Y,053-944-3533,702-040,대구광역시 북구 대현동 407-12번지 ,41570,"대구광역시 북구 대현로 96, 1층 (대현동)",128.6094989,35.88231016,커피,매일 09:00 - 19:00
탭플레이(산격점),카페,휴게음식점,07_24_05_P,2019-08-14,Y,053-382-0510,702-846,대구광역시 북구 산격동 807-4번지 ,41532,"대구광역시 북구 연암로 155-1, 1층 (산격동)",128.5955728,35.89850637,커피,09:00-21:00
더리터(연경점),카페,휴게음식점,07_24_05_P,2019-08-07,Y,053-292-1122,702-130,대구광역시 북구 연경동 1025-4번지 ,41409,"대구광역시 북구 연경중앙로 8, 1층 (연경동)",128.6185374,35.94356769,크로플,
이디야커피칠곡3지구점,카페,휴게음식점,07_24_05_P,2019-10-01,Y,053-325-0103,702-886,대구광역시 북구 동천동 909-5번지 ,41423,"대구광역시 북구 동천로 120, 1,2층 (동천동)",128.5609403,35.94229503,"커피, 디저트",09:00-01:00
커피베이경북대북문점,카페,휴게음식점,07_24_05_P,2019-02-20,Y,0507-1325-5116,702-842,대구광역시 북구 산격동 1321-12번지 ,41544,"대구광역시 북구 대학로23길 11-1, 1층 (산격동)",128.6106904,35.89438259,커피,평일 11:00 - 23:00/주말 11:00 - 22:00
준,카페,휴게음식점,07_24_05_P,2019-03-28,Y,053-1235-1234,702-050,대구광역시 북구 침산동 295-7번지 ,41560,"대구광역시 북구 침산로 162-7, 1층 (침산동)",128.5907566,35.89090572,,00:00-24:00
리미스(RIMI'S),카페,휴게음식점,07_24_05_P,2016-10-25,Y,0507-1317-4978,702-886,대구광역시 북구 동천동 920-8번지 ,41427,"대구광역시 북구 대천로17길 18, 1층 (동천동)",128.5588293,35.93854174,원형홀케이크,매일 10:00 - 22:00 매주 일요일 정기휴무
감성상점,카페,휴게음식점,07_24_05_P,2019-11-29,Y,,702-807,대구광역시 북구 구암동 782-8번지 ,41424,"대구광역시 북구 동암로38길 29-23, 1층 (구암동)",128.5694388,35.94105452,"라떼, 디저트, 수제청",
그랜마오븐,카페,휴게음식점,07_24_05_P,2019-10-21,Y,0507-1340-5414,702-072,대구광역시 북구 고성동2가 111-20번지 ,41596,"대구광역시 북구 고성로 150, 1층 (고성동2가)",128.5821338,35.88107644,리얼바닐라라떼,매일 11:30 - 21:30/월요일 휴무/화요일 휴무
커피홀(COFFEEHOLE)대구사수점,카페,휴게음식점,07_24_05_P,2019-11-28,Y,053-219-8883,702-310,대구광역시 북구 사수동 831번지 ,41599,"대구광역시 북구 내곡로 30-1, 1층 101호 (사수동)",128.5104651,35.89834578,바닐라라떼,매일 09:00 - 21:00
코코반침산점,카페,휴게음식점,07_24_05_P,2019-11-26,N,053-358-8808,702-857,대구광역시 북구 침산동 430-1 ,41590,"대구광역시 북구 침산남로 96, 1층 101호 (침산동)",128.5862091,35.88895661,,
이디야커피신암로점,카페,휴게음식점,07_24_05_P,2014-07-11,Y,053-955-2223,702-040,대구광역시 북구 대현동 274-65번지 ,41570,"대구광역시 북구 신암로 111, 1층 102호 (대현동)",128.611285,35.88071759,커피,매일 09:00 - 23:00
컴포즈커피(COMPOSECOFFEE)칠곡점,카페,휴게음식점,07_24_05_P,2019-04-30,Y,,702-808,대구광역시 북구 구암동 650번지 ,41463,"대구광역시 북구 구암로 148, 1층 (구암동)",128.5568142,35.93149504,"커피, 음료, 디저트류",08:30-22:30
가왕커피,카페,휴게음식점,07_24_05_P,2019-04-30,Y,053-213-8050,702-866,대구광역시 북구 태전동 1059-13번지 ,41461,"대구광역시 북구 태암남로 15, 1층 (태전동)",128.5490676,35.92557367,아인슈패너,평일 08:30 - 18:00/토요일 10:00 - 18:00
멜트(Melt),카페,휴게음식점,07_24_05_P,2019-06-18,Y,053-382-0888,702-833,대구광역시 북구 복현동 산 44-8번지 ,41521,"대구광역시 북구 공항로 89, 2,3,4층 (복현동)",128.6248013,35.89999371,크로와상,매일 10:30 - 23:00
카페제이(cafeJ),카페,휴게음식점,07_24_05_P,2019-05-09,Y,,702-834,대구광역시 북구 산격동 14-22번지 ,41503,"대구광역시 북구 유통단지로13길 46, 다동 1(일부)층 (산격동)",128.6069583,35.9110501,아메리카노,
파스쿠찌대구칠곡태전DT점,카페,휴게음식점,07_24_05_P,2019-05-16,Y,053-321-8497,702-865,대구광역시 북구 태전동 472-3번지 ,41467,"대구광역시 북구 칠곡중앙대로 238, 1층 (태전동)",128.5487996,35.9170598,아메리카노,매일 09:00 - 23:00
청솔로9칠곡점,카페,휴게음식점,07_24_05_P,2019-05-15,Y,053-313-8859,702-850,대구광역시 북구 읍내동 1381-10번지 ,41438,"대구광역시 북구 구암로21길 3-7, 일부 1층 (읍내동)",128.5518966,35.93262784,우유생크림파이,
파스쿠찌칠곡태전DT점2,카페,휴게음식점,07_24_05_P,2019-05-23,Y,053-321-8497,702-865,대구광역시 북구 태전동 472-3번지 ,41467,"대구광역시 북구 칠곡중앙대로 238, 2층 (태전동)",128.5487996,35.9170598,아메리카노,매일 09:00 - 23:00
커피하우스&매점(coffee house&store),카페,휴게음식점,07_24_05_P,2020-08-03,Y,,702-841,대구광역시 북구 산격동 1291-19 ,41535,"대구광역시 북구 대학로 143, 최병원 2층 (산격동)",128.6136952,35.89680127,커피,
차얌경북대점,카페,휴게음식점,07_24_05_P,2019-06-17,Y,053-9444-3738,702-842,대구광역시 북구 산격동 1327-1번지 ,41544,"대구광역시 북구 대학로23길 28, 1층 (산격동)",128.6092593,35.89352362,"밀크티, 커피",11:00-22:00
대구칠곡교회로뎀,카페,휴게음식점,07_24_05_P,2019-06-12,Y,,702-847,대구광역시 북구 읍내동 840번지 ,41433,"대구광역시 북구 칠곡중앙대로116길 12, 1층 (읍내동)",128.5524372,35.94613217,,
더리터침산점,카페,휴게음식점,07_24_05_P,2019-06-07,Y,053-355-5619,702-857,대구광역시 북구 침산동 430-1번지 ,41590,"대구광역시 북구 침산남로 96, 1층 102호 (침산동)",128.5862091,35.88895661,"커피, 음료",08:10-22:00
스테이블모먼트반석점,카페,휴게음식점,07_24_05_P,2019-06-24,Y,053-944-8001,702-833,대구광역시 북구 복현동 산 48-1 ,41528,"대구광역시 북구 복현로8길 19-36, 지하1,지상1,2층 (복현동)",128.6259983,35.89733934,스테이블커피,매일 10:00 - 23:00
투썸플레이스대구고성3가점,카페,휴게음식점,07_24_05_P,2019-04-04,Y,053-352-0321,702-073,대구광역시 북구 고성동3가 140번지 ,41596,"대구광역시 북구 원대로 52, 1,2,3층 (고성동3가)",128.5812524,35.88203785,아메리카노,평일 08:00 - 01:00/토요일 08:00 - 01:00/일요일 08:00 - 24:00
봄봄카페,카페,휴게음식점,07_24_05_P,2019-09-20,Y,053-312-0911,702-270,대구광역시 북구 매천동 750번지 한신더휴웨스턴팰리스 ,41487,"대구광역시 북구 매전로4길 32, 402동 지하1층 204호 (매천동, 한신더휴웨스턴팰리스)",128.5425576,35.90539862,아메리카노,매일 08:00 - 22:00
라온제나,카페,휴게음식점,07_24_05_P,2019-09-30,Y,,702-846,대구광역시 북구 산격동 793-85번지 ,41539,"대구광역시 북구 연암로25길 5-1, 1층 (산격동)",128.5937991,35.89526177,커피,
