,사업장명,카페이름,별점,방문자리뷰수,블로그리뷰수,주소,Latitude,Longitude,영업시간,전화번호,연결사이트,설명,메뉴,키워드
10,대명9동 퍼스널스커피,퍼스널스커피,초기값,37,2,대구 남구 대명남로 151 1층,35.8357819,128.5748977,"10:30 - 20:30
20:00 라스트오더",0507-1466-1997,https://www.instagram.com/personals_coffee,"""모든사람의 퍼스널 커피취향을 찾아떠나는 공간입니다^^
퍼스널스만의 분위기와 다양한 커피,디저트를 경험해보아요!
언제나 여러분들을 맞이 할 준비되어 있습니다""",공사중,"""{'커피가 맛있어요': '30', '인테리어가 멋져요': '25', '디저트가 맛있어요': '21', '친절해요': '20', '매장이 청결해요': '18', '음료가 맛있어요': '13', '특별한 메뉴가 있어요': '9', '사진이 잘 나와요': '8', '좌석이 편해요': '7', '음식이 맛있어요': '4', '대화하기 좋아요': '4', '화장실이 깨끗해요': '4', '컨셉이 독특해요': '1', '아늑해요': '1', '음악이 좋아요': '1', '오래 머무르기 좋아요': '1'}"""
11,대명1동 오마모리,오마모리 앞산,4.49,867,643,대구 남구 대명남로 167,35.8358752,128.5762995,NO INFO,0507-1464-2060,https://www.instagram.com/,"""NO INFO""",공사중,"""{'인테리어가 멋져요': '193', '디저트가 맛있어요': '191', '매장이 청결해요': '135', '음료가 맛있어요': '131', '특별한 메뉴가 있어요': '126'}"""
12,대명9동 강낭시에,강낭시에,초기값,102,94,대구 남구 대명남로 168-1 1층,35.8354485,128.576469,NO INFO,0507-1315-3682,https://www.instagram.com/kang.nse_dessert,"""강낭시에:) 강사장님이 만드는 휘낭시에

손님들께 맛있는 디저트를 제공하기 위해 매일 연구하는 강낭시에 입니다.

오랜시간 카페에서 일하며 정해진 디저트보다 늘 입맛을 새롭게 해줄 여러 디저트를 즐겼으면 하는 마음에 카페를 차렸습니다.

몸과 마음은 편하게, 입은 즐겁고 새로운 맛을 제공하기 위해 노력하는 강낭시에가 되겠습니다.""",공사중,"""{'디저트가 맛있어요': '90', '친절해요': '70', '매장이 청결해요': '56', '커피가 맛있어요': '50', '음료가 맛있어요': '41', '특별한 메뉴가 있어요': '30', '가성비가 좋아요': '28', '대화하기 좋아요': '17', '인테리어가 멋져요': '12', '사진이 잘 나와요': '11', '좌석이 편해요': '7', '집중하기 좋아요': '7', '화장실이 깨끗해요': '5', '포장이 깔끔해요': '3', '빵이 맛있어요': '2', '뷰가 좋아요': '2', '재료가 신선해요': '1', '선물하기 좋아요': '1'}"""
13,대명9동 마리아쥬커피,마리아쥬커피,초기값,193,89,대구 남구 대명남로 174-2,35.8354506,128.5770019,NO INFO,0507-1409-6685,https://smartstore.naver.com/mariagecoffee,"""핸드드립 커피, 에스프레소 베이스 커피 모두 잘하는 곳이다. 더치커피도 인기가 좋다. 대부분의 메뉴는 테이크아웃이 가능하다. 원두는 매일 직접 볶아서 사용하며 원두는 매장과 온라인사이트(www.mariagecoffee.kr)에서 구매가능하다. 간단한 케이크와 쿠키 종류도 즐길 수 있다. -2013블루리본서베이 본문내용""",공사중,"""{'커피가 맛있어요': '76', '친절해요': '56', '대화하기 좋아요': '25', '디저트가 맛있어요': '23', '음료가 맛있어요': '14', '특별한 메뉴가 있어요': '13', '매장이 청결해요': '11', '집중하기 좋아요': '8', '가성비가 좋아요': '7', '인테리어가 멋져요': '6', '화장실이 깨끗해요': '5', '사진이 잘 나와요': '4', '뷰가 좋아요': '4'}"""
14,대명1동 앞산커피하우스,앞산커피하우스,4.4,545,152,대구 남구 대명남로 175,35.8357468,128.5773354,10:00 - 23:00,0507-1311-3969,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '103', '디저트가 맛있어요': '60', '친절해요': '46', '대화하기 좋아요': '41', '주차하기 편해요': '39', '인테리어가 멋져요': '38', '매장이 청결해요': '36', '음료가 맛있어요': '35', '좌석이 편해요': '17', '뷰가 좋아요': '17', '화장실이 깨끗해요': '14', '특별한 메뉴가 있어요': '13', '집중하기 좋아요': '9', '사진이 잘 나와요': '6', '가성비가 좋아요': '5'}"""
15,대명1동 파스쿠찌 대구앞산정은점,파스쿠찌 대구앞산점,4.39,673,18,대구 남구 대명남로 191,35.835735,128.579088,11:30 - 24:00,053-657-6007,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '120', '주차하기 편해요': '75', '음료가 맛있어요': '63', '대화하기 좋아요': '59', '매장이 청결해요': '52', '디저트가 맛있어요': '51', '친절해요': '48', '좌석이 편해요': '40', '특별한 메뉴가 있어요': '20', '집중하기 좋아요': '20', '화장실이 깨끗해요': '19', '인테리어가 멋져요': '18', '가성비가 좋아요': '15', '뷰가 좋아요': '14', '사진이 잘 나와요': '7'}"""
16,대명6동 즉흥적인,앞산 즉흥적인 카페,4.42,150,335,대구 남구 대명남로 64 앞산 즉흥적인 카페,35.8347693,128.5650648,NO INFO,010-4395-1299,http://www.instagram.com/jeukheung,"""안녕하세요. 온 마음을 다하는 따뜻함 대구 카페 즈킁입니다 저희 즉흥적인은 2018년 2월에 카페 로 오픈하여 23년 현재 5살을 맞이하여 스...""",공사중,"""{'디저트가 맛있어요': '72', '친절해요': '43', '커피가 맛있어요': '34', '특별한 메뉴가 있어요': '29', '인테리어가 멋져요': '25'}"""
17,대명10동 핸즈커피 써니킨점,핸즈커피 써니킨점,4.36,167,25,대구 남구 대명로 124,35.8391155,128.5709289,09:00 - 23:00,053-629-5778,http://handscoffee.com/,"""NO INFO""",공사중,"""{'커피가 맛있어요': '38', '음료가 맛있어요': '23', '친절해요': '17', '디저트가 맛있어요': '15', '대화하기 좋아요': '10', '좌석이 편해요': '9', '주차하기 편해요': '8', '매장이 청결해요': '6', '가성비가 좋아요': '5', '특별한 메뉴가 있어요': '5', '집중하기 좋아요': '5', '인테리어가 멋져요': '4', '화장실이 깨끗해요': '3'}"""
18,대명4동 캔버스커피 대명역점,캔버스커피 대명역점,초기값,287,3,대구 남구 대명로 125 1층 캔버스 커피,35.839669,128.5715361,08:00 - 21:30,053-622-3147,NO INFO,"""22년3월1일에 오픈한 캔버스커피입니다. 최선을 다하겠습니다.""",공사중,"""{'커피가 맛있어요': '136', '가성비가 좋아요': '79', '음료가 맛있어요': '62', '친절해요': '62', '매장이 청결해요': '16', '디저트가 맛있어요': '15', '특별한 메뉴가 있어요': '15', '대화하기 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '3', '집중하기 좋아요': '3', '뷰가 좋아요': '3', '인테리어가 멋져요': '2'}"""
19,대명10동 로우시티,로우시티 Row City coffeebar,초기값,34,20,대구 남구 대명로 136 1층 로우시티,35.8391025,128.5723946,"08:00 - 19:00
18:50 라스트오더",0507-1355-3485,NO INFO,"""NO INFO""",공사중,"""{'디저트가 맛있어요': '25', '친절해요': '20', '커피가 맛있어요': '14', '인테리어가 멋져요': '14', '매장이 청결해요': '12', '음료가 맛있어요': '10', '사진이 잘 나와요': '10', '특별한 메뉴가 있어요': '9', '집중하기 좋아요': '4', '가성비가 좋아요': '3', '화장실이 깨끗해요': '3', '대화하기 좋아요': '2'}"""
20,대명1동 카페노브,노브 대명점,4.62,233,초기값,대구 남구 대명로 137,35.839571,128.5728217,08:00 - 20:00,0507-1301-6865,http://www.instagram.com/drink_nov,"""그저 싼맛에 사먹는다 ! 라는 테이크아웃에 대한 인식을 조금이나마 바꾸고싶었습니다. 싸지만 맛까지 챙기는 노브가 되겠습니다 :)""",공사중,"""{'친절해요': '51', '가성비가 좋아요': '50', '매장이 청결해요': '30', '커피가 맛있어요': '22', '음료가 맛있어요': '20', '주차하기 편해요': '18', '특별한 메뉴가 있어요': '8', '디저트가 맛있어요': '6', '인테리어가 멋져요': '6', '뷰가 좋아요': '5', '좌석이 편해요': '4', '사진이 잘 나와요': '4', '화장실이 깨끗해요': '4', '대화하기 좋아요': '3', '집중하기 좋아요': '2'}"""
21,대명1동 이디야커피 대구드림병원점,이디야커피 대구드림병원점,초기값,77,2,"대구 남구 대명로 153 , 1층 이디야커피",35.8396131,128.5745156,08:30 - 20:00,053-622-8420,http://www.ediya.com/,"""Always beside you, EDIYA COFFEE
일상 속 모두에게 커피를 통한 휴식과 영감을 제공하는 이디야커피는,
대한민국의 커피 문화를 만들어가는 가장 가까운 안식처입니다.""",공사중,"""{'친절해요': '42', '커피가 맛있어요': '31', '음료가 맛있어요': '22', '매장이 청결해요': '20', '가성비가 좋아요': '11', '디저트가 맛있어요': '5', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '주차하기 편해요': '3', '사진이 잘 나와요': '3', '좌석이 편해요': '2', '집중하기 좋아요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2', '주문제작을 잘해줘요': '1'}"""
22,대명11동 카페엠트리 서부점,카페엠트리 서부점,4.61,69,초기값,대구 남구 대명로 16,35.8376945,128.5593776,NO INFO,053-623-1133,NO INFO,"""6인용 스터디룸이 있어요~ 문이 있어서 단독으로 사용가능합니다 예약 후 이용하시면 됩니다^^
 053-623-1133으로 문의주세요""",공사중,"""{'음료가 맛있어요': '13', '커피가 맛있어요': '12', '대화하기 좋아요': '11', '가성비가 좋아요': '10', '특별한 메뉴가 있어요': '6'}"""
23,대명1동 몬스터커피 안지랑점,몬스터커피 안지랑점,초기값,114,2,대구 남구 대명로 162 1층,35.8388767,128.5754278,09:00 - 22:00,0507-1412-0607,NO INFO,"""향기로운 커피, 착즙에이드, 수제청으로 만든 음료를 합리적인 가격에 만나실 수 있는 몬스터 커피 입니다""",공사중,"""{'커피가 맛있어요': '55', '친절해요': '53', '가성비가 좋아요': '34', '음료가 맛있어요': '28', '매장이 청결해요': '14', '디저트가 맛있어요': '6', '특별한 메뉴가 있어요': '3', '인테리어가 멋져요': '2', '대화하기 좋아요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1', '사진이 잘 나와요': '1'}"""
24,대명9동 카페봄봄 안지랑점,카페봄봄 안지랑점,4.48,495,초기값,대구 남구 대명로 170,35.8387977,128.5763253,08:00 - 22:00,0507-1400-4426,NO INFO,"""재료를 아끼지 않습니다~!!!""",공사중,"""{'커피가 맛있어요': '119', '가성비가 좋아요': '93', '음료가 맛있어요': '89', '친절해요': '71', '매장이 청결해요': '13', '디저트가 맛있어요': '12', '특별한 메뉴가 있어요': '9', '대화하기 좋아요': '6', '좌석이 편해요': '5', '주차하기 편해요': '4', '인테리어가 멋져요': '3', '집중하기 좋아요': '3', '사진이 잘 나와요': '2', '뷰가 좋아요': '2'}"""
25,대명1동 카페달달,카페달달,4.01,64,초기값,대구 남구 대명로 176 1층,35.8385954,128.5767687,NO INFO,053-652-9250,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '17', '친절해요': '7', '음료가 맛있어요': '6', '가성비가 좋아요': '5', '매장이 청결해요': '2', '디저트가 맛있어요': '1', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '뷰가 좋아요': '1'}"""
26,대명1동 카페유럽,카페유럽,4.38,34,21,대구 남구 대명로 196,35.8394527,128.5791207,NO INFO,053-627-2697,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '7', '좌석이 편해요': '5', '인테리어가 멋져요': '5', '친절해요': '5', '대화하기 좋아요': '5', '매장이 청결해요': '4', '가성비가 좋아요': '2', '집중하기 좋아요': '2', '디저트가 맛있어요': '1', '음료가 맛있어요': '1', '주차하기 편해요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"""
27,대명6동 카페 늘,카페 늘,5,32,초기값,대구 남구 대명로 25 1층 카페 늘,35.8386127,128.5602249,09:00 - 19:00,0507-1461-2838,NO INFO,"""스페셜티원두,
수제디저트,
수제청에이드,
프랑스 수입 생지 사용 크로플, 크로아상,
제주유기농말차""",공사중,"""{'커피가 맛있어요': '14', '친절해요': '12', '매장이 청결해요': '6', '가성비가 좋아요': '5', '디저트가 맛있어요': '4', '음료가 맛있어요': '4', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '좌석이 편해요': '3', '사진이 잘 나와요': '2', '화장실이 깨끗해요': '2', '주차하기 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"""
28,대명5동 카페1052,카페1052,초기값,11,1,대구 남구 대명로 283 1층,35.843969,128.5871651,07:30 - 22:00,0507-1435-1086,NO INFO,"""NO INFO""",공사중,"""{'친절해요': '5', '가성비가 좋아요': '5', '커피가 맛있어요': '4', '음료가 맛있어요': '2', '특별한 메뉴가 있어요': '2', '매장이 청결해요': '2', '디저트가 맛있어요': '1', '사진이 잘 나와요': '1'}"""
29,대명5동 포프커피,포프커피,4.67,49,초기값,대구 남구 대명로 298,35.8443241,128.5888319,09:00 - 20:00,053-657-2102,https://m.youtube.com/channel/UCM5ttcZAEVRTKR-HYeugA4A,"""영대병원역 2번출구 옆에 위치하고 있습니다. 음료와 디저트가 맛있는 카페 입니다.""",공사중,"""{'커피가 맛있어요': '22', '친절해요': '17', '매장이 청결해요': '12', '음료가 맛있어요': '9', '가성비가 좋아요': '8', '디저트가 맛있어요': '3', '좌석이 편해요': '2', '인테리어가 멋져요': '1', '특별한 메뉴가 있어요': '1', '대화하기 좋아요': '1', '화장실이 깨끗해요': '1', '뷰가 좋아요': '1'}"""
30,대명5동 카페인중독 대구영대병원점,카페인중독 대구영대병원점,초기값,80,8,대구 남구 대명로 305 1층,35.8449261,128.5891057,"09:00 - 03:00
02:45 라스트오더",0507-1332-8149,NO INFO,"""미리 전화주시고 방문해주시면 빠른 픽업 가능합니다. 배달주문은 배달의 민족 앱 이용해주시기 바랍니다. 전화로 배달주문 불가합니다.""",공사중,"""{'디저트가 맛있어요': '54', '친절해요': '38', '음료가 맛있어요': '30', '매장이 청결해요': '29'}"""
31,봉덕3동 아킨니,아킨니,4.65,208,263,대구 남구 대명로 314 아킨니,35.8448919,128.590041,"10:00 - 22:00
21:30 라스트오더",0507-1398-3203,NO INFO,"""NO INFO""",공사중,"""{'뷰가 좋아요': '80', '커피가 맛있어요': '79', '사진이 잘 나와요': '64', '친절해요': '46', '인테리어가 멋져요': '36', '매장이 청결해요': '31', '음료가 맛있어요': '29', '대화하기 좋아요': '24', '디저트가 맛있어요': '22', '좌석이 편해요': '19', '가성비가 좋아요': '14', '특별한 메뉴가 있어요': '13', '화장실이 깨끗해요': '13', '집중하기 좋아요': '4', '주차하기 편해요': '1'}"""
32,대명11동 몬스터커피 대명점,몬스터커피 대명점,4.59,295,12,대구 남구 대명로 66,35.8389048,128.5648986,"07:30 - 22:00
21:45 라스트오더",053-657-7759,NO INFO,"""NO INFO""",공사중,"""{'커피가 맛있어요': '133', '가성비가 좋아요': '102', '친절해요': '80', '음료가 맛있어요': '74', '매장이 청결해요': '42', '디저트가 맛있어요': '17', '대화하기 좋아요': '14', '특별한 메뉴가 있어요': '11', '인테리어가 멋져요': '9', '좌석이 편해요': '7', '화장실이 깨끗해요': '6', '주차하기 편해요': '5', '뷰가 좋아요': '5', '집중하기 좋아요': '3', '사진이 잘 나와요': '1'}"""
33,대명10동 더리터 대명역점,더리터 대명역점,4.36,395,16,대구 남구 대명로 66,35.8389048,128.5648986,09:00 - 22:00,070-8780-3043,NO INFO,"""NO INFO""",공사중,"""{'가성비가 좋아요': '89', '커피가 맛있어요': '78', '친절해요': '60', '음료가 맛있어요': '51', '디저트가 맛있어요': '20', '매장이 청결해요': '19', '좌석이 편해요': '14', '특별한 메뉴가 있어요': '11', '화장실이 깨끗해요': '11', '대화하기 좋아요': '8', '인테리어가 멋져요': '7', '주차하기 편해요': '6', '집중하기 좋아요': '5', '뷰가 좋아요': '5', '사진이 잘 나와요': '4'}"""
34,대명4동 파스쿠찌 대구대명역점,파스쿠찌 대구대명역점,4.58,926,35,대구 남구 대명로 73 (대명동),35.8395966,128.565921,08:00 - 24:00,053-656-8497,http://www.caffe-pascucci.co.kr/,"""파스쿠찌 대구대명역점입니다. 네이버 스마트주문에서 간편하게 주문하세요!""",공사중,"""{'커피가 맛있어요': '183', '주차하기 편해요': '138', '음료가 맛있어요': '122', '대화하기 좋아요': '107', '친절해요': '102', '매장이 청결해요': '86', '좌석이 편해요': '84', '디저트가 맛있어요': '64', '집중하기 좋아요': '51', '인테리어가 멋져요': '45', '가성비가 좋아요': '27', '화장실이 깨끗해요': '24', '특별한 메뉴가 있어요': '18', '사진이 잘 나와요': '10', '뷰가 좋아요': '8', '읽을만한 책이 많아요': '1'}"""
35,대명6동 가이아,가이아커피,초기값,39,5,대구 남구 대명로14길 111,35.834157,128.5650392,"10:30 - 22:00
21:30 라스트오더",0507-1449-0273,NO INFO,"""수제 에이드와 라떼 맛집 가이아커피입니다.

에이드류 하나하나 수제로 착즙해서 만들고 있어요.
수제 에이드지만 저렴한 가격에 맛보실 수 있습니다.
과일이 들어가는 것은 전부 수제로 만들고 있어요.

돌체라떼와 바닐라 향과 풍미가 가득한 바닐라라떼가 대표 메뉴입니다 :)

나무가 많이 들어간 유럽풍 우드톤 인테리어에 미술 작가들이 그린 벽화들로 꾸며진 은은한 분위기의 매장에서 통창의 햇살을 받으며 커피를 즐겨보세요.""",공사중,"""{'친절해요': '15', '대화하기 좋아요': '11', '좌석이 편해요': '9', '커피가 맛있어요': '8', '매장이 청결해요': '8', '집중하기 좋아요': '7', '음료가 맛있어요': '6', '인테리어가 멋져요': '5', '가성비가 좋아요': '3', '특별한 메뉴가 있어요': '3', '화장실이 깨끗해요': '3', '디저트가 맛있어요': '2', '뷰가 좋아요': '2', '주차하기 편해요': '1'}"""
36,대명11동 카페오슬링(Osling),카페 오슬링,초기값,36,4,대구 남구 대명로14길 134 1-2층,35.8330672,128.5646951,"12:00 - 21:00
20:30 라스트오더",0507-1411-1164,https://www.instagram.com/cafe.osling,"""안녕하세요. 앞산에 위치한 카페 오슬링입니다. 매일 직접 만든 디저트와 샌드위치, 커피를 제공해 드리고 있습니다.
따뜻하고 아늑한 공간에서 편히 머물다 가실 수 있는 공간이 되기를 바랍니다.

* 2층은 계단, 난간 등 안전상 노키즈존(13세 이하)으로 운영됩니다. 양해 부탁드립니다.""",공사중,"""{'친절해요': '17', '주차하기 편해요': '14', '매장이 청결해요': '12', '커피가 맛있어요': '11', '좌석이 편해요': '10', '뷰가 좋아요': '10', '음료가 맛있어요': '9', '인테리어가 멋져요': '9', '사진이 잘 나와요': '7', '화장실이 깨끗해요': '7', '디저트가 맛있어요': '5', '대화하기 좋아요': '5', '가성비가 좋아요': '4', '특별한 메뉴가 있어요': '3'}"""
37,대명6동 또다,또다,초기값,42,3,대구 남구 대명로20길 85 1층,35.835383,128.5681953,NO INFO,070-4134-7281,https://www.instagram.com/__ddoda,"""베이커리 카페""",공사중,"""{'디저트가 맛있어요': '31', '친절해요': '24', '커피가 맛있어요': '18', '음료가 맛있어요': '15', '매장이 청결해요': '15', '가성비가 좋아요': '11', '특별한 메뉴가 있어요': '6', '인테리어가 멋져요': '3', '집중하기 좋아요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1'}"""
38,대명10동 비아또,비아또,4.43,47,초기값,대구 남구 대명로21길 23 대명마을문화창작소 1층,35.8406469,128.5691092,11:00 - 21:00,0507-1424-1124,http://instagram.com/beato.cafe,"""BEATO는 스페인어의 행복한이란 뜻입니다.
카페에 오시는 모든 분들께 편안하고 포근한 분위기를 제공하고자 합니다. 고객님의 마음으로 정성 담아 함껏 준비하였습니다.
아기자기 야외 테라스에 테이블도 있어요~

beato와 함께 행복한 시간되세요~""",공사중,"""{'커피가 맛있어요': '14', '음료가 맛있어요': '10', '친절해요': '9', '인테리어가 멋져요': '6', '가성비가 좋아요': '6', '매장이 청결해요': '5', '대화하기 좋아요': '4', '디저트가 맛있어요': '3', '사진이 잘 나와요': '3', '화장실이 깨끗해요': '3', '좌석이 편해요': '1', '특별한 메뉴가 있어요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"""
39,대명1동 카페점보,카페점보 본점,4.83,77,17,대구 남구 대명로25길 22-1 카페점보 본점,35.8405869,128.5715332,NO INFO,010-6770-7313,https://www.instagram.com/,"""체인문의 010-6770-7313 테이크아웃, 배달전문점입니다. 배달은 모든음료 캔으로 나갑니다""",공사중,"""{'음료가 맛있어요': '15', '친절해요': '15', '가성비가 좋아요': '14', '커피가 맛있어요': '10', '디저트가 맛있어요': '5', '특별한 메뉴가 있어요': '5', '매장이 청결해요': '5', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}"""
40,대명9동 이집,이집,초기값,73,21,대구 남구 대명로36길 10-15 이집,35.8386407,128.5754641,"13:00 - 23:00
22:30 라스트오더",0507-1351-9219,https://74209219.modoo.at,"""안녕하세요 남구 대명동에 위치한 카페 입니다. 직접 선별한 원두를 사용합니다. (* 각종 모임 예 약 가능) 감사합니다.""",공사중,"""{'친절해요': '29', '대화하기 좋아요': '29', '인테리어가 멋져요': '27', '좌석이 편해요': '26', '커피가 맛있어요': '24', '음료가 맛있어요': '21', '가성비가 좋아요': '21', '디저트가 맛있어요': '18', '매장이 청결해요': '17', '집중하기 좋아요': '12', '사진이 잘 나와요': '11', '화장실이 깨끗해요': '7', '특별한 메뉴가 있어요': '5', '주차하기 편해요': '4'}"""
